Research ID,Taxonomy Skill,NLP Score
5146624781,supervise accounting operations,0.11627419387335872
5214147967,coordinate forestry research,0.08031569345926168
5142709269,prepare animals for veterinary surgery,0.09759815793909199
5214147139,maintain pharmacy records,0.0898843118228919
5207610597,park guest s vehicle,0.0894455643654419
5280695504,universal tax systems taxwise,0.08033330314818105
5274130622,front desk,0.08029582628822592
5127056820,mathematics,0.08802677102713151
5201868141,bioinformatics databases,0.08661313884577332
5152920230,plan water resource development,0.08104899704706615
5278753809,treat speech disorders,0.13650274454313258
5127053078,develop a specific interior design,0.08847382463824044
5127053078,environmental design,0.08163963869987594
5259679769,apple macos,0.08275821561482875
5278753518,supervise store opening and closing procedures,0.10153915159628676
5278753518,execute opening and closing procedures,0.0828554650935996
5280733680,forest vegetation simulators,0.08964500400988228
5280733840,forest vegetation simulators,0.0858312428124674
5280736180,virtual reality software,0.1505148683025266
5135671486,conduct ecological research,0.11670239011304145
5280736939,harvest crop,0.10717258394383136
5280737432,forest vegetation simulators,0.10391965748215706
5278777026,sort textile items,0.09827939731596186
5207474800,special education educational software,0.0806203507444862
5177430250,cadsoft design build,0.08043798206736097
5198515484,sas,0.14132849116603263
5198515484,motivate employees,0.13311944544258486
5198515484,test visual acuity,0.0833564643629144
5198515484,build team spirit,0.08014785055218067
5189661086,electronic document management system edms,0.10684584070417529
5189661086,objective electronic document management,0.08553398277914002
5052775368,promote innovative infrastructure design,0.08122419924183351
4986919625,cadsoft design build,0.08850838467230014
5129817225,transmission line simulators,0.11924133831478556
5271760702,plan digital marketing,0.1221230659703463
5271760702,plan social media marketing campaigns,0.08567904221626187
4749677852,record music,0.09993878192399801
5207617771,chef,0.09906477071925451
4984639793,cadsoft design build,0.08912461864689986
5127252305,adhere to standard operating procedures,0.1006412534864156
5127056735,teach principles of social work,0.10312147939165588
5207439893,promote innovative infrastructure design,0.0815980570899706
5115225537,remote sensing software,0.08329900549459758
5189662558,electronic document management system edms,0.10684584070417529
5189662558,objective electronic document management,0.08553398277914002
5249286893,sort textile items,0.09749808722523115
5249313725,write leasing reports,0.09861170805517361
5151229495,promote innovative infrastructure design,0.08437704827182432
5245129457,cadsoft design build,0.09576482170382865
5003040136,plan digital marketing,0.10673763871232128
5245176885,maintain turf and grass,0.08659925183289338
5240837420,maintain air conditioning systems,0.08821579962145258
5135672652,prepare animals for veterinary surgery,0.08618051720531768
4749677725,record music,0.12051014355072949
4749677725,orchestrate music,0.08897634062965067
5263732900,teach engineering principles,0.08905476084220568
5263733082,manufacture medical devices,0.08351001804367014
5259678227,conduct scholarly research,0.08093742921362473
5125178039,move soil,0.08453261318399721
5249239069,equipment maintenance,0.0804852595570501
5240675780,promote innovative infrastructure design,0.08561368052550805
5208980048,make legislative decisions,0.0877828619565207
5208980048,web conferencing software,0.08238309044162308
5179155150,maintain contract administration,0.092641222949451
5179155150,contract management software,0.08182450687357516
4984641919,cadsoft design build,0.08912461864689986
4662455459,focus on passengers,0.08832358214519077
4662455459,provide information to passengers,0.08035166046145416
5179159845,maintain contract administration,0.092641222949451
5179159845,contract management software,0.08182450687357516
5179161384,maintain contract administration,0.092641222949451
5179161384,contract management software,0.08182450687357516
5015171688,php,0.08034797608142451
5196605938,social media sites,0.0846633195539857
4749677092,record music,0.08631080754770089
5219432279,work with chemicals,0.08755928400689109
